"Data","IBX Index"
2001-01-03,0.0627207631310453
2001-01-04,0.000787893290067239
2001-01-05,-0.0108614516147844
2001-01-08,0.00275623395267529
2001-01-09,0.0211749557568952
2001-01-10,-0.00368196356036375
2001-01-11,0.00253691236383592
2001-01-12,-0.00530596481519905
2001-01-15,0.00570804370565033
2001-01-16,-0.00522044270045546
2001-01-17,0.0221208566836092
2001-01-18,0.0221748086693131
2001-01-19,0.00408871542263457
2001-01-22,-0.00763891956358486
2001-01-23,0.0208258567784185
2001-01-24,-0.00212839596340575
2001-01-26,0.00382344426783773
2001-01-29,0.00523721168129458
2001-01-30,-0.00548598462192174
2001-01-31,0.00253633048495079
2001-02-01,-0.0255950183500184
2001-02-02,-0.00928507952073053
2001-02-05,-0.00932148581390774
2001-02-06,0.0142372592708229
2001-02-07,-0.00811292611052492
2001-02-08,0.0205173347778981
2001-02-09,-0.00678455311525445
2001-02-12,-0.00932776617954077
2001-02-13,0.00759204156235349
2001-02-14,0.00413551551724617
2001-02-15,-0.00760378133990961
2001-02-16,-0.0326518276404381
2001-02-19,-0.0110709967079189
2001-02-20,-0.0019394414525627
2001-02-21,-0.015557405301476
2001-02-22,0.0154668333928784
2001-02-23,0.0117158982628454
2001-02-28,-0.0117338170985102
2001-03-01,0.0242682290292123
2001-03-02,0.0107300929292467
2001-03-05,-0.00397965137687445
2001-03-06,-0.00709814839566491
2001-03-07,0.00819143908691242
2001-03-08,-0.00584082612462903
2001-03-09,-0.0047635512603264
2001-03-12,-0.0330938722070047
2001-03-13,0.00108387081447698
2001-03-14,-0.0152467511664951
2001-03-15,-0.0121121389477109
2001-03-16,0.008580314672521
2001-03-19,-0.022544093550279
2001-03-20,0.00243723652019538
2001-03-21,0.00128662007682684
2001-03-22,-0.0461786874233487
2001-03-23,0.0201915124573555
2001-03-26,0.0217267389941288
2001-03-27,0.0113715608699291
2001-03-28,-0.0121354760416283
2001-03-29,-0.0171239251014406
2001-03-30,0.00911196959941417
2001-04-02,-0.0290188694588754
2001-04-03,-0.014653159174733
2001-04-04,0.00940842639328391
2001-04-05,0.0368813436364461
2001-04-06,0.00360442525971226
2001-04-09,0.0107900011203924
2001-04-10,0.0207030540391585
2001-04-11,-0.0109409454400661
2001-04-12,0.00731975112846163
2001-04-16,-0.0265380888942716
2001-04-17,-0.00358614683607303
2001-04-18,0.0331125414374988
2001-04-19,-0.0297821554823699
2001-04-20,-0.0426111680311915
2001-04-23,0.0184952672153009
2001-04-24,0.0138319344907319
2001-04-25,0.0120083037483424
2001-04-26,0.0350589399830043
2001-04-27,0.0111060320820879
2001-04-30,-0.000951771931650959
2001-05-02,0.00196489974545628
2001-05-03,0.00923177489563361
2001-05-04,0.000603541167395876
2001-05-07,-0.0120252922466729
2001-05-08,-0.0056703794150932
2001-05-09,0.0102882507278151
2001-05-10,0.0172659652368289
2001-05-11,-0.0224080901103064
2001-05-14,-0.0177226736941266
2001-05-15,0.00310772956682978
2001-05-16,0.0224461084638076
2001-05-17,0.00788592192789341
2001-05-18,0.00358181962308683
2001-05-21,0.0117895204912398
2001-05-22,-0.00664143480435676
2001-05-23,-0.00111770219057978
2001-05-24,-0.0092779840199547
2001-05-25,-0.0135767101772384
2001-05-28,-0.00512854152627789
2001-05-29,0.00853868332244401
2001-05-30,0.00354524571554227
2001-05-31,0.0123808113710394
2001-06-01,0.0061366381869715
2001-06-04,0.0197773701301534
2001-06-05,0.00721245673951335
2001-06-06,-0.0081740784349244
2001-06-07,0.0041292833824168
2001-06-08,-0.00891519903601033
2001-06-11,-0.00643757132943741
2001-06-12,-0.00309966550164645
2001-06-13,0.0154654545980922
2001-06-15,-0.0192726018297569
2001-06-18,-0.030706663139504
2001-06-19,0.00228830893070282
2001-06-20,0.0147577626370076
2001-06-21,0.00500989299057298
2001-06-22,-0.0078279953524946
2001-06-25,-0.00683995741660756
2001-06-26,-0.0056752032919752
2001-06-27,-0.0102892427105386
2001-06-28,0.00449614983131864
2001-06-29,0.0145967812380456
2001-07-02,0.000703604414004367
2001-07-03,-0.0190106623471404
2001-07-04,-0.0134728094209867
2001-07-05,0.0028723740155911
2001-07-06,-0.00486018560406913
2001-07-10,-0.0155579036607917
2001-07-11,0.0085087661821007
2001-07-12,0.0115091887878226
2001-07-13,0.00705022328255941
2001-07-16,-0.0195447159410165
2001-07-17,0.0145999194572659
2001-07-18,-0.0206580911874891
2001-07-19,0.00124704994746802
2001-07-20,0.0173622247062962
2001-07-23,0.00346460259600351
2001-07-24,-0.0149146752474342
2001-07-25,0.0128864463193745
2001-07-26,-0.00606168058030731
2001-07-27,0.00541281977155437
2001-07-30,-0.0104920560147316
2001-07-31,0.00805913120896233
2001-08-01,-0.00534820034898236
2001-08-02,0.000579626141138999
2001-08-03,0.00674503520421522
2001-08-06,0.0111041735532132
2001-08-07,-0.000653848016660972
2001-08-08,-0.00290789250490704
2001-08-09,-0.00274017546844255
2001-08-10,0.00574215441978358
2001-08-13,-0.0100375879500484
2001-08-14,0.00551331670975538
2001-08-15,-0.00910095025970109
2001-08-16,-0.00761232711818605
2001-08-17,-0.0298969295463476
2001-08-20,0.00101430553562025
2001-08-21,-0.00633457921888396
2001-08-22,0.00547707995959543
2001-08-23,-0.0102980995238446
2001-08-24,0.0174656165813796
2001-08-27,-0.0016595723117463
2001-08-28,0.00179557134699585
2001-08-29,0.00151368331718307
2001-08-30,-0.0125053752561151
2001-08-31,-0.00315712963763456
2001-09-03,-0.00810412337026176
2001-09-04,0.00807642487046634
2001-09-05,0.000726001786092814
